country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,90.2,55.3,41.9174,248.297,1610,9.44,56.2,5.82,553
Albania,16.6,1145.2,267.895,1987.74,9930,4.49,76.3,1.65,4090
Algeria,27.3,1712.64,185.982,1400.44,12900,16.1,76.5,2.89,4460
Angola,119,2199.19,100.605,1514.37,5900,22.4,60.1,6.16,3530
Antigua and Barbuda,10.3,5551,735.66,7185.8,19100,1.44,76.8,2.13,12200
Argentina,14.5,1946.7,834.3,1648,18700,20.9,75.8,2.37,10300
Armenia,18.1,669.76,141.68,1458.66,6700,7.77,73.3,1.69,3220
Australia,4.8,10276.2,4530.87,10847.1,41400,1.16,82,1.93,51900
Austria,4.3,24059.7,5159,22418.2,43200,0.873,80.5,1.44,46900
Azerbaijan,39.2,3171.12,343.392,1208.88,16000,13.8,69.1,1.92,5840
Bahamas,13.8,9800,2209.2,12236,22900,-0.393,73.8,1.86,28000
Bahrain,8.6,14386.5,1028.79,10536.3,41100,7.44,76,2.16,20700
Bangladesh,49.4,121.28,26.6816,165.244,2440,7.14,70.4,2.33,758
Barbados,14.2,6320,1275.2,7792,15300,0.321,76.7,1.78,16000
Belarus,5.5,3099.42,338.283,3889.35,16200,15.1,70.4,1.49,6030
Belgium,4.5,33921.6,4750.8,33166.8,41100,1.88,80,1.86,44400
Belize,18.8,2525.88,225.68,2495.5,7880,1.14,71.4,2.71,4340
Benin,111,180.404,31.078,281.976,1820,0.885,61.8,5.36,758
Bhutan,42.7,926.5,113.36,1541.26,6420,5.99,72.1,2.38,2180
Bolivia,46.6,815.76,95.832,679.14,5410,8.78,71.6,3.2,1980
Bosnia and Herzegovina,6.9,1369.17,511.71,2364.93,9720,1.4,76.8,1.31,4610
Botswana,52.5,2768.6,527.05,3257.55,13300,8.92,57.1,2.88,6350
Brazil,19.8,1198.4,1009.12,1321.6,14500,8.41,74.2,1.8,11200
Brunei,10.5,23792.2,1002.52,9884,80600,16.7,77.1,1.84,35300
Bulgaria,10.8,3433.68,469.908,3625.2,15300,1.11,73.9,1.57,6840
Burkina Faso,116,110.4,38.755,170.2,1430,6.81,57.9,5.87,575
Burundi,93.6,20.6052,26.796,90.552,764,12.3,57.7,6.26,231
Cambodia,44.4,425.226,44.6448,467.67,2520,3.12,66.1,2.88,786
Cameroon,108,290.82,67.203,353.7,2660,1.91,57.3,5.11,1310
Canada,5.6,13793.4,5356.2,14694,40700,2.87,81.3,1.63,47400
Cape Verde,26.5,1082.37,135.379,2045.58,5830,0.505,72.5,2.67,3310
Central African Republic,149,52.628,17.7508,118.19,888,2.01,47.5,5.21,446
Chad,150,330.096,40.6341,390.195,1930,6.39,56.5,6.59,897
Chile,8.7,4863.3,1026.84,4037.7,19400,8.96,79.1,1.88,12900
China,15.7,1199.28,231.192,1030.56,9530,6.94,74.6,1.59,4560
Colombia,18.6,993.75,474.375,1112.5,10900,3.86,76.4,2.01,6250
Comoros,88.2,126.885,34.6819,397.573,1410,3.87,65.9,4.75,769
"Congo, Dem. Rep.",116,137.274,26.4194,165.664,609,20.8,57.5,6.54,334
"Congo, Rep.",63.9,2331.74,67.404,1498.78,5190,20.7,60.4,4.95,2740
Costa Rica,10.2,2722.4,893.8,2870,13000,6.57,80.4,1.92,8200
Cote d'Ivoire,111,617.32,64.66,528.26,2690,5.39,56.3,5.27,1220
Croatia,5.5,5076,1047.6,5143.5,20100,0.821,76.3,1.55,13500
Cyprus,3.6,15461.6,1838.76,17710,33900,2.01,79.9,1.42,30800
Czech Republic,3.4,13068,1560.24,12454.2,28300,-1.43,77.5,1.51,19800
Denmark,4.1,29290,6612,25288,44000,3.22,79.5,1.87,58000
Dominican Republic,34.4,1237.15,338.99,1814.85,11100,5.44,74.6,2.6,5450
Ecuador,25.1,1300.14,375.596,1509.84,9350,7.47,76.7,2.66,4660
Egypt,29.1,553.8,121.16,691.6,9860,10.1,70.5,3.19,2600
El Salvador,19.2,804.31,206.609,1393.34,7300,2.65,74.1,2.27,2990
Equatorial Guinea,111,14671.8,766.08,10071.9,33700,24.9,60.9,5.21,17100
Eritrea,55.2,23.0878,12.8212,112.306,1420,11.6,61.7,4.61,482
Estonia,4.5,10964.6,880.38,10030.2,22700,1.74,76,1.72,14600
Fiji,24.1,2109.7,177.39,2332.35,7350,4.23,65.3,2.67,3650
Finland,3,17879.4,4134.9,17278.8,39800,0.351,80,1.87,46200
France,4.2,10880.8,4831.4,11408.6,36900,1.05,81.4,2.03,40600
Gabon,63.7,5048.75,306.25,1653.75,15400,16.6,62.9,4.08,8750
Gambia,80.3,133.756,31.9778,239.974,1660,4.3,65.5,5.71,562
Georgia,16.5,1036,298.96,1562.88,6730,8.55,72.8,1.92,2960
Germany,4.2,17681.4,4848.8,15507.8,40400,0.758,80.1,1.39,41800
Ghana,74.7,386.45,68.382,601.29,3060,16.6,62.2,4.27,1310
Greece,3.9,5944.9,2770.7,8258.3,28700,0.673,80.4,1.48,26900
Grenada,14.6,1754.06,431.882,3626.04,11200,0.48,71.3,2.24,7370
Guatemala,35.4,730.14,193.855,1027.29,6710,5.14,71.3,3.38,2830
Guinea,109,196.344,31.9464,279.936,1190,16.1,58,5.34,648
Guinea-Bissau,114,81.503,46.495,192.544,1390,2.97,55.6,5.05,547
Guyana,37.6,1562.56,163.552,2404.64,5840,5.73,65.5,2.65,3040
Haiti,208,101.286,45.7442,428.314,1500,5.45,32.1,3.33,662
Hungary,6,10715.8,960.23,10021.5,22300,2.33,74.5,1.25,13100
Iceland,2.6,22374.6,3938.6,18142.7,38800,5.47,82,2.2,41900
India,58.8,305.1,54.675,365.85,4410,8.98,66.2,2.6,1350
